"Core" "Lat" "Lon" "Ocean_depth" "d13C" "age" "age_weights" "run.no"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.456521699999996 "6"
"V28-127" 11.65 -80.13 3237 0.873 113.51153346117 0.0115334611697051 "6"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.30424731182795 "6"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.875307547169811 "7"
"GIK17051" 56.16 -31.99 2295 0.96 115.473237837838 0.126762162162137 "7"
"GIK23414-9" 53.54 -20.29 2196 0.858344732461357 115.013301408451 0.888380281690146 "7"
"GIK23415-9" 53.18 -19.15 2472 0.8 115.185503412969 0.414496587030726 "7"
"GIK23418-8" 52.55 -20.33 2841 0.562885560789329 114.498811360459 0.228784095713991 "7"
"ODP983" 60.4 -23.64 1984 1.03892921009204 114.503410421902 2.0748053009969 "7"
"V28-56" 68.033 -6.117 2941 1.06 115 0.599999999999994 "7"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.991061844863722 "7"
"ODP1089" -40.94 9.89 4621 -0.47803120826982 114.680353433584 2.4268646115288 "7"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.77757338461538 "7"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.976933462532301 "7"
"CH69_K09" 41.75 -47.35 4100 0.663749999999996 114.893333333333 1.44 "7"
"EW9209-1JPC" 5.91 -44.2 4056 0.613806952409224 114.653595811518 2.39606570680634 "7"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.776470599999996 "7"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.8444444 "7"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.200000000000003 "7"
"GIK12392-1" 25.17 -16.85 2573 0.799555096817881 115.113446097815 1.83424724245576 "7"
"GIK16004" 29.98 -10.65 1512 0.97 115.357249829352 0.242750170648463 "7"
"GIK16030" 21.24 -18.06 1516 0.63 114.924408376136 0.675591623864079 "7"
"GIK16867" -2.2 5.1 3891 0.25 114.062660431655 0.462660431654683 "7"
"GeoB1041" -3.48 -7.6 4033 0.36 115.113753758542 0.486246241457849 "7"
"GeoB1101" 1.66 -10.98 4588 0.44 113.607327342256 0.00732734225620391 "7"
"GeoB1105" -1.67 -12.43 3225 0.474034022282321 114.53891523507 1.02388523424766 "7"
"GeoB1115" -3.56 -12.56 2945 0.85 115.169325752508 0.430674247491623 "7"
"GeoB1117" -3.82 -14.9 3984 -0.08 114.874892356688 0.725107643312086 "7"
"GeoB1214" -24.69 7.24 3210 0.32 114.454483333333 0.854483333333349 "7"
"GeoB1710" -23.43 11.7 2987 0.31 113.969034655532 0.369034655532374 "7"
"GeoB4216" 30.63 -12.4 2324 0.83 114.400238399072 0.800238399071944 "7"
"GeoB7920-2" 20.75 -18.58 2278 0.231961239482735 114.460501674829 1.52307433141746 "7"
"IODP-U1308" 49.88 -24.24 3883 0.592582940949686 114.737331322115 4.44311171059125 "7"
"KNR140-37JPC" 31.41415 -75.25807 3000 0.69934545720172 114.40625 1.14583339999999 "7"
"MD95_2042" 37.799833 -10.1665 3146 0.510695970695971 114.514 2.73000000000003 "7"
"ODP1063" 33.683333 -57.616667 4584 0.552453201970441 114.603333333333 2.03 "7"
"ODP925" 4.2 -43.49 3040 1.01 114.04114 0.441140000000019 "7"
"SU90-03" 40.05 -32 2475 1.08 114.975593028846 0.624406971153832 "7"
"SU90-11" 44.07 -40.02 3645 0.399881492562379 113.99308190709 0.786163814180938 "7"
"U1308" 49.87776 -24.23811 3871 0.574398907103826 114.574285714286 3.66 "7"
"V22-174" -10.07 -12.82 2630 0.53 115.249224193548 0.350775806451594 "7"
"V22-38" -9.55 -34.25 3797 0.55 115.0434783 0.55652169999999 "7"
"V29-135" -19.7 8.88 2675 0.29 113.804247311828 0.204247311827956 "7"
"CH73-139" 54.63 -16.35 2209 0.73 114.72469245283 0.97530754716982 "8"
"GIK17051" 56.16 -31.99 2295 0.96 115.473237837838 0.226762162162146 "8"
"GIK23414-9" 53.54 -20.29 2196 0.885360190249707 115.013301408451 0.888380281690146 "8"
"GIK23415-9" 53.18 -19.15 2472 0.8 115.185503412969 0.514496587030735 "8"
"GIK23418-8" 52.55 -20.33 2841 0.56 115.384419312602 0.315580687397713 "8"
"ODP983" 60.4 -23.64 1984 1.02672189072813 114.503410421902 1.97480530099689 "8"
"V28-56" 68.033 -6.117 2941 1.06 115 0.700000000000003 "8"
"V29-202" 61 -21 2658 0.75 114.608938155136 0.908938155136269 "8"
"ODP1089" -40.94 9.89 4621 -0.475179182418073 114.680353433584 2.48757147869672 "8"
"PS2082" -43.22 11.74 4610 -0.23 114.377573384615 0.677573384615371 "8"
"PS2498" -44.15 -14.23 3783 -0.05 114.576933462532 0.876933462532293 "8"
"CH69_K09" 41.75 -47.35 4100 0.714805194805195 114.893333333333 1.54000000000001 "8"
"EW9209-1JPC" 5.91 -44.2 4056 0.592660619388323 114.653595811518 2.38546439790579 "8"
"GEOB1028-5" -20.1 9.19 2209 0.63 114.8235294 0.876470600000005 "8"
"GEOB2109-1" -27.91 -45.88 2504 0.82 114.4444444 0.744444399999992 "8"
"GEOB4403-2" 6.13 -43.44 4503 0.04 113.8 0.0999999999999943 "8"
