"Lat" "Lon" "Ocean_depth" "d13C" "weights" "run.no"
37.799833 -10.1665 3146 0.965 4.3 "3"
37.799833 -10.1665 3146 0.99 4.3 "3"
37.8 -10.17 3146 0.98785 4.3 "3"
37.8 -10.17 3146 1.0421 4.3 "3"
37.82 -9.5 1086 1.174 4.3 "3"
37.82 -9.5 1086 1.158 4.3 "3"
40.05 -32 2475 1.29333333333333 4.3 "3"
40.05 -32 2475 1.33 4.3 "3"
40.58 -9.86 2465 0.95 4.3 "3"
40.58 -9.86 2465 0.86 4.3 "3"
44.36 -26.54 3050 1.142 4.3 "3"
44.36 -26.54 3050 1.196 4.3 "3"
48.22 -27.06 2558 1.32 4.3 "3"
52.55 -20.33 2841 1.095 4.3 "4"
52.55 -20.33 2841 1.14 4.3 "4"
53.18 -19.15 2472 1.155 4.3 "4"
53.18 -19.15 2472 1.23 4.3 "4"
53.54 -20.29 2196 1.19 4.3 "4"
53.54 -20.29 2196 1.15 4.3 "4"
54.25 -16.83 2393 0.9775 4.3 "4"
54.25 -16.83 2393 0.98 4.3 "4"
54.63 -16.35 2209 0.704 4.3 "4"
54.63 -16.35 2209 0.69 4.3 "4"
54.96 -19.76 1487 1.33 4.3 "4"
54.96 -19.76 1487 1.22 4.3 "4"
55.48 -14.68 2161 1.08 4.3 "4"
55.48 -14.68 2161 1.11 4.3 "4"
55.49 -14.7 2168 1.1 4.3 "4"
55.49 -14.7 2168 1.00666666666667 4.3 "4"
56.16 -31.99 2295 1 4.3 "4"
56.16 -31.99 2295 1.01166666666667 4.3 "4"
57.51 -15.85 1134 0.79 4.3 "4"
57.51 -15.85 1134 0.835 4.3 "4"
60.4 -23.64 1984 1.29 4.3 "4"
60.4 -23.64 1984 1.16 4.3 "4"
61 -24 1650 1.245 4.3 "4"
61 -24 1650 1.06 4.3 "4"
64.78 -29.57 1855 0.91 4.3 "4"
-44.15 -14.23 3783 -0.00999999999999998 0.7 "4"
-44.15 -14.23 3783 -0.15 0.7 "4"
-44.07 -14.21 3770 0.07 0.7 "4"
-44.07 -14.21 3770 -0.11 0.7 "4"
-43.22 11.74 4610 0.17 0.7 "4"
-43.22 11.74 4610 0.24 0.7 "4"
-42.91 8.9 3702 0.215 0.7 "4"
-42.91 8.9 3702 0.13 0.7 "4"
-40.94 9.89 4621 0.26 0.7 "4"
-40.94 9.89 4621 0.3 0.7 "4"
-36.2667 19.475 2488 0.848571428571429 3.5 "4"
-36.2667 19.475 2488 0.827142857142857 3.5 "4"
-31.46 15.31 1372 0.346666666666667 3.5 "4"
-31.46 15.31 1372 0.33 3.5 "4"
-27.7 -46.52 1567 1.065 5 "4"
-27.7 -46.52 1567 1.04 5 "4"
-27.51 -46.47 1268 1.1345 5 "4"
-27.51 -46.47 1268 1.14 5 "4"
-26.95 -44.67 2069 1.2965 5 "4"
-26.95 -44.67 2069 1.30375 5 "4"
-26.7 -43.33 2438 1.355 5 "4"
-26.7 -43.33 2438 1.34175 5 "4"
-25.5 11.3 4194 0.42 3.5 "4"
-25.5 11.3 4194 0.428 3.5 "4"
-24.69 7.24 3210 0.6875 3.5 "4"
-24.69 7.24 3210 0.69 3.5 "4"
-24.48 7.53 4084 0.385 3.5 "4"
-24.48 7.53 4084 0.426666666666667 3.5 "4"
