lower,Lat,Lon,Ocean_depth,d13C,count,_merge,edgecolor
9.0,20.75,-18.58,2278.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,14.5,-17.95,2384.0,0.75,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,12.09,-61.24,1299.0,0.9450000000000001,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,55.48,-14.68,2161.0,1.11,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,-31.46,15.31,1372.0,0.49,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,55.49,-14.7,2168.0,0.88,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,59.19,-30.9,1416.0,0.95,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,40.05,-32.0,2475.0,1.09,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,54.25,-16.83,2393.0,0.92,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.0,61.0,-21.0,2658.0,1.03,2.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,-20.1,9.19,2209.0,0.85,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,35.65,-8.06,1765.0,1.21,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,23.14,-17.75,2136.0,0.73,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,34.89,-7.82,2022.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,21.24,-18.06,1516.0,0.89,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,56.16,-31.99,2295.0,0.7,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,53.18,-19.15,2472.0,1.0,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,52.55,-20.33,2841.0,0.99,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,64.8,-29.6,1893.0,0.8,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,14.5,-17.95,2384.0,0.74,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,-27.51,-46.47,1268.0,1.001,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,12.09,-61.24,1299.0,1.1,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
9.25,55.48,-14.68,2161.0,0.93,1.0,"(1, 0, 0, 0.5)","(1, 0, 0, 0.5)"
